indicator,date,rate
low,2023-05-15 17:35:00,309.54
close,2023-05-15 17:35:00,309.54
open,2023-05-15 17:33:00,309.11
high,2023-05-15 17:33:00,309.11
low,2023-05-15 17:33:00,309.11
close,2023-05-15 17:33:00,309.11
open,2023-05-15 17:31:00,309.5271
high,2023-05-15 17:31:00,309.5271
low,2023-05-15 17:31:00,309.5271
close,2023-05-15 17:31:00,309.5271
open,2023-05-15 17:29:00,309.52
high,2023-05-15 17:29:00,309.54
low,2023-05-15 17:29:00,309.52
close,2023-05-15 17:29:00,309.54
open,2023-05-15 17:28:00,309.51
high,2023-05-15 17:28:00,309.51
low,2023-05-15 17:28:00,309.51
close,2023-05-15 17:28:00,309.51
open,2023-05-15 17:10:00,309.43
high,2023-05-15 17:10:00,309.43
low,2023-05-15 17:10:00,309.43
close,2023-05-15 17:10:00,309.43
open,2023-05-15 17:07:00,309.43
high,2023-05-15 17:07:00,309.43
low,2023-05-15 17:07:00,309.43
close,2023-05-15 17:07:00,309.43
open,2023-05-15 17:06:00,309.5299
high,2023-05-15 17:06:00,309.5299
low,2023-05-15 17:06:00,309.5299
close,2023-05-15 17:06:00,309.5299
open,2023-05-15 17:01:00,309.45
high,2023-05-15 17:01:00,309.46
low,2023-05-15 17:01:00,309.45
close,2023-05-15 17:01:00,309.46
open,2023-05-15 17:00:00,309.51
high,2023-05-15 17:00:00,309.53
low,2023-05-15 17:00:00,309.45
close,2023-05-15 17:00:00,309.45
open,2023-05-15 16:59:00,309.51
high,2023-05-15 16:59:00,309.51
low,2023-05-15 16:59:00,309.51
close,2023-05-15 16:59:00,309.51
open,2023-05-15 16:58:00,309.49
high,2023-05-15 16:58:00,309.51
low,2023-05-15 16:58:00,309.46
close,2023-05-15 16:58:00,309.51
open,2023-05-15 16:57:00,309.44
high,2023-05-15 16:57:00,309.46
low,2023-05-15 16:57:00,309.44
close,2023-05-15 16:57:00,309.46
open,2023-05-15 16:54:00,309.49
high,2023-05-15 16:54:00,309.49
low,2023-05-15 16:54:00,309.49
close,2023-05-15 16:54:00,309.49
open,2023-05-15 16:53:00,309.46
high,2023-05-15 16:53:00,309.56
low,2023-05-15 16:53:00,309.46
close,2023-05-15 16:53:00,309.56
open,2023-05-15 16:50:00,309.43
high,2023-05-15 16:50:00,309.43
low,2023-05-15 16:50:00,309.43
close,2023-05-15 16:50:00,309.43
open,2023-05-15 16:43:00,309.5
high,2023-05-15 16:43:00,309.5
low,2023-05-15 16:43:00,309.5
close,2023-05-15 16:43:00,309.5
open,2023-05-15 16:41:00,309.45
high,2023-05-15 16:41:00,309.45
low,2023-05-15 16:41:00,309.4
close,2023-05-15 16:41:00,309.4
open,2023-05-15 16:39:00,309.5
high,2023-05-15 16:39:00,309.5
low,2023-05-15 16:39:00,309.45
close,2023-05-15 16:39:00,309.45
open,2023-05-15 16:38:00,309.55
high,2023-05-15 16:38:00,309.55
low,2023-05-15 16:38:00,309.55
close,2023-05-15 16:38:00,309.55
open,2023-05-15 16:37:00,309.48
high,2023-05-15 16:37:00,309.5
low,2023-05-15 16:37:00,309.48
close,2023-05-15 16:37:00,309.5
open,2023-05-15 16:35:00,309.46
high,2023-05-15 16:35:00,309.46
low,2023-05-15 16:35:00,309.46
close,2023-05-15 16:35:00,309.46
open,2023-05-15 16:32:00,309.46
high,2023-05-15 16:32:00,309.46
low,2023-05-15 16:32:00,309.38
close,2023-05-15 16:32:00,309.38
open,2023-05-15 16:31:00,309.35
high,2023-05-15 16:31:00,309.35
low,2023-05-15 16:31:00,309.35
close,2023-05-15 16:31:00,309.35
open,2023-05-15 16:28:00,309.052
high,2023-05-15 16:28:00,309.052
low,2023-05-15 16:28:00,309.052
close,2023-05-15 16:28:00,309.052
open,2023-05-15 16:27:00,309.45
high,2023-05-15 16:27:00,309.45
low,2023-05-15 16:27:00,309.41
close,2023-05-15 16:27:00,309.41
open,2023-05-15 16:21:00,309.46
high,2023-05-15 16:21:00,309.47
low,2023-05-15 16:21:00,309.45
close,2023-05-15 16:21:00,309.45
open,2023-05-15 16:20:00,309.47
high,2023-05-15 16:20:00,309.5
low,2023-05-15 16:20:00,309.45
close,2023-05-15 16:20:00,309.45
open,2023-05-15 16:19:00,309.57
high,2023-05-15 16:19:00,309.57
low,2023-05-15 16:19:00,309.49
close,2023-05-15 16:19:00,309.5
open,2023-05-15 16:18:00,309.61
high,2023-05-15 16:18:00,309.61
low,2023-05-15 16:18:00,309.61
close,2023-05-15 16:18:00,309.61
open,2023-05-15 16:16:00,309.55
high,2023-05-15 16:16:00,309.75
low,2023-05-15 16:16:00,309.55
close,2023-05-15 16:16:00,309.66
open,2023-05-15 16:15:00,309.46
high,2023-05-15 16:15:00,309.59
low,2023-05-15 16:15:00,309.46
close,2023-05-15 16:15:00,309.56
open,2023-05-15 16:14:00,309.46
high,2023-05-15 16:14:00,309.46
low,2023-05-15 16:14:00,309.46
close,2023-05-15 16:14:00,309.46
open,2023-05-15 16:13:00,309.42
high,2023-05-15 16:13:00,309.46
low,2023-05-15 16:13:00,309.39
close,2023-05-15 16:13:00,309.46
open,2023-05-15 16:11:00,309.46
high,2023-05-15 16:11:00,309.46
low,2023-05-15 16:11:00,309.46
close,2023-05-15 16:11:00,309.46
open,2023-05-15 16:10:00,309.2
high,2023-05-15 16:10:00,309.2
low,2023-05-15 16:10:00,309.2
close,2023-05-15 16:10:00,309.2
open,2023-05-15 16:09:00,309.46
high,2023-05-15 16:09:00,309.46
low,2023-05-15 16:09:00,309.46
close,2023-05-15 16:09:00,309.46
open,2023-05-15 16:08:00,309.46
high,2023-05-15 16:08:00,309.46
low,2023-05-15 16:08:00,309.46
close,2023-05-15 16:08:00,309.46
open,2023-05-15 16:07:00,309.46
high,2023-05-15 16:07:00,309.46
low,2023-05-15 16:07:00,309.46
close,2023-05-15 16:07:00,309.46
open,2023-05-15 16:06:00,309.45
high,2023-05-15 16:06:00,309.45
low,2023-05-15 16:06:00,309.4
close,2023-05-15 16:06:00,309.45
open,2023-05-15 16:05:00,309.5
high,2023-05-15 16:05:00,309.5
low,2023-05-15 16:05:00,309.38
close,2023-05-15 16:05:00,309.39
open,2023-05-15 16:04:00,309.55
high,2023-05-15 16:04:00,309.55
low,2023-05-15 16:04:00,309.47
close,2023-05-15 16:04:00,309.49
open,2023-05-15 16:03:00,309.44
high,2023-05-15 16:03:00,309.49
low,2023-05-15 16:03:00,309.43
close,2023-05-15 16:03:00,309.49
open,2023-05-15 16:02:00,309.49
high,2023-05-15 16:02:00,309.49
low,2023-05-15 16:02:00,309.46
close,2023-05-15 16:02:00,309.46
open,2023-05-15 16:01:00,309.47
high,2023-05-15 16:01:00,309.53
low,2023-05-15 16:01:00,309.41
close,2023-05-15 16:01:00,309.49
open,2023-05-15 16:00:00,309.33
high,2023-05-15 16:00:00,309.51
low,2023-05-15 16:00:00,309.2
close,2023-05-15 16:00:00,309.51
open,2023-05-15 15:59:00,309.34
high,2023-05-15 15:59:00,309.36
low,2023-05-15 15:59:00,309.23
close,2023-05-15 15:59:00,309.315
open,2023-05-15 15:58:00,309.28
high,2023-05-15 15:58:00,309.43
low,2023-05-15 15:58:00,309.24
close,2023-05-15 15:58:00,309.34
open,2023-05-15 15:57:00,309.08
high,2023-05-15 15:57:00,309.28
low,2023-05-15 15:57:00,309.08
close,2023-05-15 15:57:00,309.28
open,2023-05-15 15:56:00,309.14
high,2023-05-15 15:56:00,309.14
low,2023-05-15 15:56:00,308.98
close,2023-05-15 15:56:00,309.09
open,2023-05-15 15:55:00,309.42
high,2023-05-15 15:55:00,309.48
low,2023-05-15 15:55:00,309.13
close,2023-05-15 15:55:00,309.15
open,2023-05-15 15:54:00,309.37
high,2023-05-15 15:54:00,309.43
low,2023-05-15 15:54:00,309.35
close,2023-05-15 15:54:00,309.4204
open,2023-05-15 15:53:00,309.27
high,2023-05-15 15:53:00,309.37
low,2023-05-15 15:53:00,309.27
close,2023-05-15 15:53:00,309.35
open,2023-05-15 15:52:00,309.29
high,2023-05-15 15:52:00,309.34
low,2023-05-15 15:52:00,309.24
close,2023-05-15 15:52:00,309.27
open,2023-05-15 15:51:00,309.2
high,2023-05-15 15:51:00,309.36
low,2023-05-15 15:51:00,309.18
close,2023-05-15 15:51:00,309.29
open,2023-05-15 15:50:00,309.18
high,2023-05-15 15:50:00,309.24
low,2023-05-15 15:50:00,309.12
close,2023-05-15 15:50:00,309.2006
open,2023-05-15 15:49:00,309.19
high,2023-05-15 15:49:00,309.24
low,2023-05-15 15:49:00,309.11
close,2023-05-15 15:49:00,309.17
open,2023-05-15 15:48:00,309.16
high,2023-05-15 15:48:00,309.21
low,2023-05-15 15:48:00,309.11
close,2023-05-15 15:48:00,309.18
open,2023-05-15 15:47:00,309.12
high,2023-05-15 15:47:00,309.2027
low,2023-05-15 15:47:00,309.11
close,2023-05-15 15:47:00,309.155
open,2023-05-15 15:46:00,309.01
high,2023-05-15 15:46:00,309.19
low,2023-05-15 15:46:00,309.0
close,2023-05-15 15:46:00,309.12
open,2023-05-15 15:45:00,309.04
high,2023-05-15 15:45:00,309.08
low,2023-05-15 15:45:00,308.9804
close,2023-05-15 15:45:00,309.03
open,2023-05-15 15:44:00,309.18
high,2023-05-15 15:44:00,309.18
low,2023-05-15 15:44:00,309.01
close,2023-05-15 15:44:00,309.04
open,2023-05-15 15:43:00,309.22
high,2023-05-15 15:43:00,309.26
low,2023-05-15 15:43:00,309.14
close,2023-05-15 15:43:00,309.18
open,2023-05-15 15:42:00,309.38
high,2023-05-15 15:42:00,309.405
low,2023-05-15 15:42:00,309.22
close,2023-05-15 15:42:00,309.22
